N,base_version,blocking_16_block_8_unfold_sr_vec_2,blocking_32_block_8_unfold_sr_vec_2,blocking_64_block_8_unfold_sr_vec_2
8,383.000000,143.000000,167.000000,155.000000
16,1639.000000,210.000000,308.000000,208.000000
32,11522.000000,774.000000,817.000000,599.000000
64,28395.000000,2232.000000,2076.000000,2319.000000
128,124847.000000,9742.000000,8760.000000,8466.000000
256,607539.000000,50754.000000,48486.000000,50383.000000
512,4494068.000000,290323.000000,288041.000000,273593.000000
1024,23833101.000000,1452220.000000,1368057.000000,1388629.000000
2048,98962992.000000,6892432.000000,6137762.000000,6208726.000000
4096,403352849.000000,27011504.000000,24753250.000000,25655728.000000
8192,1692592520.000000,120918727.000000,120948919.000000,120347694.000000
