N,base_version,fused,unfold_sr,blocking,blocking_avx,blocking2_avx
500,1125610.000000,1102699.000000,679986.000000,809434.000000,195125.000000,197478.000000
1000,5160725.000000,4824515.000000,3293545.000000,3396394.000000,647081.000000,711646.000000
1500,12320996.000000,11371561.000000,7817983.000000,7664066.000000,1952850.000000,2240927.000000
2000,22818536.000000,21192749.000000,14605162.000000,13722764.000000,3772661.000000,3582162.000000
2500,37926316.000000,35268994.000000,26443539.000000,22869734.000000,8267363.000000,8239339.000000
3000,56247226.000000,51136108.000000,37972150.000000,32462971.000000,12025788.000000,12783779.000000
3500,84863706.000000,78724904.000000,61190732.000000,45247636.000000,16699013.000000,15816924.000000
4000,127459794.000000,117560951.000000,91594820.000000,59640402.000000,23694553.000000,19796486.000000
4500,144052906.000000,133421571.000000,103786435.000000,74616433.000000,27660091.000000,28608760.000000
5000,184877292.000000,170742319.000000,133203687.000000,91932363.000000,33995888.000000,35670990.000000
5500,229430983.000000,213067540.000000,166538758.000000,111934702.000000,41854570.000000,42081720.000000
6000,279542413.000000,258988689.000000,198082565.000000,133599615.000000,51210154.000000,45976846.000000
6500,335762156.000000,311831573.000000,242910642.000000,156326499.000000,60898049.000000,59723701.000000
7000,391148344.000000,363443959.000000,280636013.000000,181747804.000000,68251872.000000,67007341.000000
7500,451703151.000000,421813833.000000,325407084.000000,208313786.000000,78035649.000000,75082603.000000
8000,602606337.000000,561001159.000000,468829222.000000,251765146.000000,112716620.000000,84889484.000000
8500,604458838.000000,567833770.000000,448518122.000000,270311286.000000,101830590.000000,91760985.000000
9000,667567877.000000,620173945.000000,481019257.000000,303878110.000000,114411016.000000,120780400.000000
9500,752510137.000000,705261471.000000,550789612.000000,338439335.000000,129156572.000000,127100575.000000
10000,831008641.000000,778633989.000000,596254349.000000,378526194.000000,154596970.000000,134172039.000000
