N,base_version,blocking_4,blocking_32_block_4,blocking_32_block_4_unfold1_sr,blocking_32_block_4_unfold2_sr
4,276.700000,4846.300000,382.600000,4437.400000,141.400000
8,263.000000,302.300000,6643.200000,262.700000,349.500000
16,1537.600000,1274.200000,1392.100000,681.300000,1259.100000
32,4093.600000,4255.000000,8471.800000,7841.300000,2935.400000
64,15666.500000,16588.800000,15789.100000,7103.300000,13825.900000
128,101759.800000,75210.800000,72590.400000,32273.400000,90637.700000
256,391814.600000,257609.500000,245475.000000,110757.200000,561283.100000
512,4069309.700000,1014765.200000,2247996.800000,659557.200000,5137823.400000
1024,21794174.400000,4110406.100000,3974771.900000,3512912.100000,39893086.900000
2048,92095981.900000,32292165.600000,16784990.100000,16255421.700000,329315397.400000
4096,436325512.300000,90935756.100000,72640475.600000,60984731.000000,3048137752.400000
