N,base_version,unfold_d,unfold_d_unfold_mx4,unfold_d_unfold_mx8
4,240.000000,83.000000,99.000000,162.000000
8,817.000000,270.000000,310.000000,298.000000
16,3470.000000,1032.000000,950.000000,997.000000
32,78622.000000,4670.000000,3751.000000,3787.000000
64,53223.000000,18621.000000,15580.000000,14857.000000
128,205616.000000,71309.000000,61409.000000,58312.000000
256,808039.000000,281208.000000,245892.000000,234431.000000
512,3285859.000000,1112883.000000,955084.000000,952297.000000
1024,12770372.000000,4500657.000000,3783805.000000,3756453.000000
2048,51076212.000000,18565450.000000,15323147.000000,14978610.000000
4096,207781694.000000,74208813.000000,62655814.000000,62007267.000000
8192,828966198.000000,300812247.000000,246000187.000000,244574353.000000
