N,base_version,unfold_d,unfold_d_unfold_mx4,unfold_d_unfold_mx4_vec,unfold_d_unfold_nx4_mx4_vec,unfold_d_unfold_nx4_mx8_vec
8,861.000000,317.000000,650.000000,345.000000,629.000000,618.000000
16,3495.000000,1180.000000,1027.000000,1269.000000,1184.000000,516.000000
32,14044.000000,5297.000000,3898.000000,4714.000000,4413.000000,1732.000000
64,52839.000000,28503.000000,14970.000000,38909.000000,17894.000000,6433.000000
128,205962.000000,72007.000000,60655.000000,75115.000000,70907.000000,38495.000000
256,810787.000000,282333.000000,236856.000000,299331.000000,279994.000000,107596.000000
512,3203380.000000,1115245.000000,934853.000000,1194854.000000,1136596.000000,445513.000000
1024,12776387.000000,4507808.000000,3729309.000000,4843021.000000,4774525.000000,2004461.000000
2048,51067794.000000,18649066.000000,14938610.000000,19592381.000000,20247231.000000,9725483.000000
4096,204891996.000000,74222744.000000,59743532.000000,78813799.000000,92043187.000000,41477379.000000
8192,825739324.000000,302836911.000000,240012131.000000,319214069.000000,436386002.000000,181272286.000000
