N,base_version,unfold_d_unfold_nx4_mx8_vec,unfold_d_unfold_nx8_mx8_vec
16,3712.000000,644.000000,-22471185595023190087855950241089863630807763102347628541227205749338602109850223923027100886823237480313117057822799065349325325915271360296708792135057036868787440633309032622796172148904435551661475488438610765180049906004381915943886039259696093779862879472944374532596213391957850828406661210072946835456.000000
32,14182.000000,1765.000000,2314.000000
64,79821.000000,6461.000000,7940.000000
128,309570.000000,53724.000000,32224.000000
256,818016.000000,109739.000000,152604.000000
512,3240746.000000,449472.000000,601235.000000
1024,12863271.000000,2012555.000000,4223254.000000
2048,52404884.000000,9679017.000000,23448828.000000
4096,204922296.000000,44421099.000000,95227671.000000
8192,828208953.000000,181940525.000000,391360174.000000
