N,base_version,fused,unfold_accumulators,unfold_accumulators_avx
500,4531177.000000,4054474.000000,1378804.000000,329139.000000
1000,18766346.000000,16168322.000000,5540363.000000,1375853.000000
1500,41831444.000000,36338765.000000,12417044.000000,3209677.000000
2000,73612428.000000,64635220.000000,22011764.000000,5446069.000000
2500,114964538.000000,100999533.000000,34423032.000000,8762833.000000
3000,165721161.000000,145393141.000000,49475072.000000,12206492.000000
3500,225463169.000000,198503685.000000,67361665.000000,17080159.000000
4000,298471322.000000,259921666.000000,88562822.000000,26451892.000000
4500,377202480.000000,328782365.000000,111877533.000000,30017696.000000
5000,463795454.000000,405705068.000000,139536129.000000,39420583.000000
5500,566432377.000000,490980883.000000,167505484.000000,59219927.000000
6000,671458474.000000,584777221.000000,199896587.000000,62413824.000000
6500,784991332.000000,686382456.000000,233957789.000000,70394276.000000
7000,912693143.000000,795741643.000000,271163889.000000,80143219.000000
7500,1052526363.000000,913526561.000000,311016010.000000,93213060.000000
8000,1192103351.000000,1039868172.000000,354823357.000000,112839582.000000
8500,1343870867.000000,1172285339.000000,398288147.000000,113688859.000000
9000,1498659861.000000,1314151185.000000,448974422.000000,120565828.000000
9500,1672783218.000000,1464633710.000000,497711085.000000,138824722.000000
10000,1843740100.000000,1622642928.000000,552531738.000000,174429226.000000
