N,base_version,unroll_accum4,unroll_accum8,unroll_accum8_vec
4,36.000000,48.000000,54.000000,48.000000
8,48.000000,57.000000,70.000000,47.000000
16,121.000000,107.000000,107.000000,56.000000
32,262.000000,151.000000,158.000000,54.000000
64,464.000000,250.000000,252.000000,68.000000
128,865.000000,511.000000,513.000000,123.000000
256,1679.000000,933.000000,916.000000,197.000000
512,3307.000000,1771.000000,1717.000000,425.000000
1024,6580.000000,3475.000000,3920.000000,771.000000
2048,13112.000000,6871.000000,6633.000000,1275.000000
4096,26192.000000,13723.000000,14550.000000,2520.000000
8192,52311.000000,98256.000000,58260.000000,6532.000000
16384,104535.000000,55776.000000,60907.000000,18917.000000
